index,grid_x,grid_y,real_x,real_y,height
374,104.8447,169.5728,366152.96,362604.0,116.86
375,105.3155,169.7427,366152.96,362604.0,116.86
376,105.7864,169.9126,366153.16,362604.0,116.86
377,106.2573,170.0825,366153.16,362604.0,116.86
378,106.7282,170.2524,366153.36,362604.0,116.86
379,107.199,170.4223,366153.36,362604.0,116.86
380,107.6699,170.5922,366153.56,362604.2,116.85
381,108.1408,170.7621,366153.56,362604.2,116.85
382,108.6117,170.932,366153.76,362604.2,116.85
383,109.0825,171.1019,366153.76,362604.2,116.85
384,109.5534,171.2718,366153.96,362604.2,116.85
385,110.0243,171.4417,366153.96,362604.2,116.85
386,110.4951,171.6117,366153.96,362604.4,116.85
387,110.966,171.7816,366154.16,362604.4,116.85
388,111.4369,171.9515,366154.16,362604.4,116.85
389,111.9078,172.1214,366154.36,362604.4,116.85
390,112.3786,172.2913,366154.36,362604.4,116.85
391,112.8495,172.4612,366154.56,362604.4,116.85
392,113.3204,172.6311,366154.56,362604.6,116.85
393,113.7913,172.801,366154.76,362604.6,116.86
394,114.2621,172.9709,366154.76,362604.6,116.86
395,114.733,173.1408,366154.96,362604.6,116.86
396,115.2039,173.3107,366154.96,362604.6,116.86
397,115.6748,173.4806,366155.16,362604.6,116.86
398,116.1456,173.6505,366155.16,362604.8,116.86
399,116.6165,173.8204,366155.36,362604.8,116.86
400,117.0874,173.9903,366155.36,362604.8,116.86
401,117.5583,174.1602,366155.56,362604.8,116.86
402,118.0291,174.3301,366155.56,362604.8,116.86
403,118.5,174.5,366155.56,362604.8,116.86
404,118.9709,174.6699,366155.76,362605.0,116.87
405,119.4417,174.8398,366155.76,362605.0,116.87
406,119.9126,175.0097,366155.96,362605.0,116.87
407,120.3835,175.1796,366155.96,362605.0,116.87
408,120.8544,175.3495,366156.16,362605.0,116.87
409,121.3252,175.5194,366156.16,362605.2,116.87
410,121.7961,175.6893,366156.36,362605.2,116.87
411,122.267,175.8592,366156.36,362605.2,116.87
412,122.7379,176.0291,366156.56,362605.2,116.87
413,123.2087,176.199,366156.56,362605.2,116.87
414,123.6796,176.3689,366156.76,362605.2,116.87
415,124.1505,176.5388,366156.76,362605.4,116.87
416,124.6214,176.7087,366156.96,362605.4,116.87
417,125.0922,176.8786,366156.96,362605.4,116.87
418,125.5631,177.0485,366157.16,362605.4,116.87
419,126.034,177.2184,366157.16,362605.4,116.87
420,126.5049,177.3883,366157.36,362605.4,116.87
421,126.9757,177.5583,366157.36,362605.6,116.87
422,127.4466,177.7282,366157.36,362605.6,116.87
423,127.9175,177.8981,366157.56,362605.6,116.87
424,128.3883,178.068,366157.56,362605.6,116.87
425,128.8592,178.2379,366157.76,362605.6,116.88
426,129.3301,178.4078,366157.76,362605.6,116.88
427,129.801,178.5777,366157.96,362605.8,116.88
428,130.2718,178.7476,366157.96,362605.8,116.88
429,130.7427,178.9175,366158.16,362605.8,116.88
430,131.2136,179.0874,366158.16,362605.8,116.88
431,131.6845,179.2573,366158.36,362605.8,116.88
432,132.1553,179.4272,366158.36,362605.8,116.88
433,132.6262,179.5971,366158.56,362606.0,116.88
434,133.0971,179.767,366158.56,362606.0,116.88
435,133.568,179.9369,366158.76,362606.0,116.88
436,134.0388,180.1068,366158.76,362606.0,116.88
437,134.5097,180.2767,366158.96,362606.0,116.88
438,134.9806,180.4466,366158.96,362606.0,116.88
439,135.4515,180.6165,366158.96,362606.2,116.91
440,135.9223,180.7864,366159.16,362606.2,116.91
441,136.3932,180.9563,366159.16,362606.2,116.91
442,136.8641,181.1262,366159.36,362606.2,116.91
443,137.335,181.2961,366159.36,362606.2,116.91
444,137.8058,181.466,366159.56,362606.2,116.91
445,138.2767,181.6359,366159.56,362606.4,116.91
446,138.7476,181.8058,366159.76,362606.4,116.91
447,139.2184,181.9757,366159.76,362606.4,116.91
448,139.6893,182.1456,366159.96,362606.4,116.91
449,140.1602,182.3155,366159.96,362606.4,116.91
450,140.6311,182.4854,366160.16,362606.4,116.91
451,141.1019,182.6553,366160.16,362606.6,116.91
452,141.5728,182.8252,366160.36,362606.6,116.91
453,142.0437,182.9951,366160.36,362606.6,116.91
454,142.5146,183.165,366160.56,362606.6,116.91
455,142.9854,183.335,366160.56,362606.6,116.91
456,143.4563,183.5049,366160.56,362606.8,116.91
457,143.9272,183.6748,366160.76,362606.8,116.89
458,144.3981,183.8447,366160.76,362606.8,116.89
459,144.8689,184.0146,366160.96,362606.8,116.89
460,145.3398,184.1845,366160.96,362606.8,116.89
461,145.8107,184.3544,366161.16,362606.8,116.89
462,146.2816,184.5243,366161.16,362607.0,116.89
463,146.7524,184.6942,366161.36,362607.0,116.89
464,147.2233,184.8641,366161.36,362607.0,116.89
465,147.6942,185.034,366161.56,362607.0,116.89
466,148.165,185.2039,366161.56,362607.0,116.89
467,148.6359,185.3738,366161.76,362607.0,116.92
468,149.1068,185.5437,366161.76,362607.2,116.91
469,149.5777,185.7136,366161.96,362607.2,116.91
470,150.0485,185.8835,366161.96,362607.2,116.91
471,150.5194,186.0534,366162.16,362607.2,116.91
472,150.9903,186.2233,366162.16,362607.2,116.91
473,151.4612,186.3932,366162.16,362607.2,116.91
474,151.932,186.5631,366162.36,362607.4,116.91
475,152.4029,186.733,366162.36,362607.4,116.91
476,152.8738,186.9029,366162.56,362607.4,116.91
477,153.3447,187.0728,366162.56,362607.4,116.91
478,153.8155,187.2427,366162.76,362607.4,116.91
479,154.2864,187.4126,366162.76,362607.4,116.91
480,154.7573,187.5825,366162.96,362607.6,116.91
481,155.2282,187.7524,366162.96,362607.6,116.91
482,155.699,187.9223,366163.16,362607.6,116.91
483,156.1699,188.0922,366163.16,362607.6,116.91
484,156.6408,188.2621,366163.36,362607.6,116.91
485,157.1117,188.432,366163.36,362607.6,116.91
486,157.5825,188.6019,366163.56,362607.8,116.91
487,158.0534,188.7718,366163.56,362607.8,116.91
488,158.5243,188.9417,366163.76,362607.8,116.9
489,158.9951,189.1117,366163.76,362607.8,116.9
490,159.466,189.2816,366163.76,362607.8,116.9
491,159.9369,189.4515,366163.96,362607.8,116.9
492,160.4078,189.6214,366163.96,362608.0,116.9
493,160.8786,189.7913,366164.16,362608.0,116.9
494,161.3495,189.9612,366164.16,362608.0,116.9
495,161.8204,190.1311,366164.36,362608.0,116.9
496,162.2913,190.301,366164.36,362608.0,116.9
497,162.7621,190.4709,366164.56,362608.0,116.9
498,163.233,190.6408,366164.56,362608.2,116.92
499,163.7039,190.8107,366164.76,362608.2,116.92
500,164.1748,190.9806,366164.76,362608.2,116.92
501,164.6456,191.1505,366164.96,362608.2,116.92
502,165.1165,191.3204,366164.96,362608.2,116.92
503,165.5874,191.4903,366165.16,362608.2,116.92
504,166.0583,191.6602,366165.16,362608.4,116.92
505,166.5291,191.8301,366165.36,362608.4,116.92
506,167.0,192.0,366165.36,362608.4,116.92
507,167.3291,191.6203,366165.36,362608.4,116.92
508,167.6582,191.2405,366165.56,362608.2,116.92
509,167.9873,190.8608,366165.56,362608.2,116.92
510,168.3165,190.481,366165.56,362608.0,116.9
511,168.6456,190.1013,366165.76,362608.0,116.91
